qseqid	sseqid	pident	length	qlen	slen	evalue	qstart	qend	sstart	send	staxids	sphylums	sgenus	sspecies
Pcub-SC1982_037_000214.1	MDZ4809684.1	80.6	558	583	561	0.0	29	583	4	561		N/A	N/A	N/A
Pcub-SC1982_037_000213.1	MBS0647588.1	23.3	240	889	301	8.03e-04	39	278	66	295		N/A	N/A	N/A
Pcub-SC1982_037_000212.1	MBS0647588.1	28.3	272	340	301	1.75e-23	49	319	43	300		N/A	N/A	N/A
Pcub-SC1982_037_000211.1	MCG9912337.1	42.6	1891	4024	1448	0.0	25	1912	29	1423		N/A	N/A	N/A
Pcub-SC1982_037_000210.1	MCG9912334.1	61.7	783	783	785	0.0	8	783	4	785		N/A	N/A	N/A
Pcub-SC1982_037_000209.1	NBO49925.1	69.8	86	149	153	2.39e-32	12	97	11	96		N/A	N/A	N/A
Pcub-SC1982_037_000208.1	MCG9912332.1	79.8	574	574	574	0.0	1	574	1	574		N/A	N/A	N/A
Pcub-SC1982_037_000207.1	MCG9912331.1	29.3	362	344	324	1.98e-32	1	328	1	323		N/A	N/A	N/A
Pcub-SC1982_037_000041.1	MCG9912329.1	67.4	341	864	350	4.23e-158	307	646	4	344		N/A	N/A	N/A
Pcub-SC1982_037_000042.1	MCG9912327.1	71.5	608	620	606	1.50e-311	1	608	1	606		N/A	N/A	N/A
Pcub-SC1982_037_000206.1	MCG9909887.1	42.7	365	577	373	4.25e-88	7	370	10	373		N/A	N/A	N/A
Pcub-SC1982_037_000205.1	WP_236979319.1	63.0	227	209	254	5.49e-96	1	204	1	226	2904244	Bacteroidota	Membranihabitans	Membranihabitans maritimus
Pcub-SC1982_037_000043.1	MCG9909888.1	79.3	179	181	185	1.54e-100	3	181	7	185		N/A	N/A	N/A
Pcub-SC1982_037_000204.1	MCG9909897.1	82.0	449	777	471	1.35e-272	9	457	9	457		N/A	N/A	N/A
Pcub-SC1982_037_000203.1	MCC6515841.1	43.8	258	269	288	3.16e-55	5	258	1	256		N/A	N/A	N/A
Pcub-SC1982_037_000044.1	MBL0913336.1	74.2	287	287	287	1.03e-147	1	287	1	287		N/A	N/A	N/A
Pcub-SC1982_037_000202.1	MBL0913337.1	44.1	59	124	106	1.53e-04	20	78	20	78		N/A	N/A	N/A
Pcub-SC1982_037_000045.1	MCG9909899.1	69.0	703	704	703	0.0	1	703	1	702		N/A	N/A	N/A
Pcub-SC1982_037_000200.1	MCG9909900.1	62.1	256	212	255	2.03e-99	1	212	1	255		N/A	N/A	N/A
Pcub-SC1982_037_000046.1	MCG9909901.1	87.9	289	290	302	5.86e-186	1	289	9	297		N/A	N/A	N/A
Pcub-SC1982_037_000047.1	MCG9909902.1	74.4	211	217	213	3.67e-117	7	217	3	213		N/A	N/A	N/A
Pcub-SC1982_037_000199.1	MCG9910199.1	59.9	539	1356	550	3.89e-215	812	1350	12	550		N/A	N/A	N/A
Pcub-SC1982_037_000048.1	MCG9910202.1	73.0	821	821	817	0.0	1	821	1	817		N/A	N/A	N/A
Pcub-SC1982_037_000049.1	MCG9910203.1	59.9	282	262	298	1.98e-73	3	261	21	298		N/A	N/A	N/A
Pcub-SC1982_037_000050.1	MCG9910204.1	56.7	633	627	626	3.06e-253	1	626	1	624		N/A	N/A	N/A
Pcub-SC1982_037_000051.1	MCG9910205.1	65.7	612	617	615	2.25e-305	8	617	5	615		N/A	N/A	N/A
Pcub-SC1982_037_000198.1	MCG9910207.1	34.5	351	354	330	3.72e-50	14	354	6	330		N/A	N/A	N/A
Pcub-SC1982_037_000052.1	MCG9910208.1	47.9	336	345	355	1.06e-103	6	340	18	353		N/A	N/A	N/A
Pcub-SC1982_037_000053.1	MCG9910209.1	58.1	136	139	148	2.30e-41	2	137	14	148		N/A	N/A	N/A
Pcub-SC1982_037_000054.1	MCG9910210.1	75.0	236	283	237	1.36e-130	47	282	1	236		N/A	N/A	N/A
Pcub-SC1982_037_000055.1	MCG9910211.1	75.7	177	177	177	1.02e-93	1	177	1	177		N/A	N/A	N/A
Pcub-SC1982_037_000197.1	MCG9910212.1	58.6	133	142	134	3.12e-51	9	141	1	133		N/A	N/A	N/A
Pcub-SC1982_037_000056.1	MBP6659964.1	51.5	235	357	245	3.92e-77	119	353	10	243		N/A	N/A	N/A
Pcub-SC1982_037_000057.1	MBL0910878.1	77.2	470	1581	502	4.16e-258	1112	1581	33	502		N/A	N/A	N/A
Pcub-SC1982_037_000196.1	WP_129001410.1	58.6	210	214	214	2.84e-76	5	212	3	212	2508721	Bacteroidota	Filimonas	Filimonas effusa
Pcub-SC1982_037_000058.1	WP_132130725.1	36.3	1008	1043	1016	1.20e-198	56	1040	33	1016	496056	Bacteroidota	Anseongella	Anseongella ginsenosidimutans
Pcub-SC1982_037_000195.1	WP_240847630.1	67.4	190	316	192	3.02e-84	127	316	3	192	1825928	Bacteroidota	Niabella	Niabella hibiscisoli
Pcub-SC1982_037_000194.1	WP_300661155.1	79.6	230	230	230	3.46e-127	1	230	1	230	1917219	Bacteroidota	Fluviicola	Fluviicola sp.
Pcub-SC1982_037_000059.1	WP_119048371.1	36.1	998	999	1019	1.69e-203	10	991	21	1009	2315862	Bacteroidota	Paraflavitalea	Paraflavitalea soli
Pcub-SC1982_037_000193.1	WP_129001410.1	57.1	210	212	214	1.23e-74	5	212	3	212	2508721	Bacteroidota	Filimonas	Filimonas effusa
Pcub-SC1982_037_000192.1	MCG9910215.1	59.4	438	441	438	6.84e-160	1	434	1	430		N/A	N/A	N/A
Pcub-SC1982_037_000191.1	MCZ2101612.1	71.1	187	191	188	4.42e-101	3	189	2	188		N/A	N/A	N/A
Pcub-SC1982_037_000190.1	PIF05449.1	74.1	767	772	772	0.0	2	766	1	767	1965318	Bacteroidota	Draconibacterium	Draconibacterium sp.
Pcub-SC1982_037_000189.1	TAH18994.1	58.0	410	431	405	6.91e-164	23	431	1	403	2053541	Bacteroidota	N/A	Cytophagales bacterium
Pcub-SC1982_037_000061.1	HEX5551931.1	73.3	146	147	148	1.02e-65	1	146	1	146		N/A	N/A	N/A
Pcub-SC1982_037_000062.1	WP_116847849.1	72.7	245	621	246	6.41e-122	377	621	2	246	2291815	Bacteroidota	Deminuibacter	Deminuibacter soli
Pcub-SC1982_037_000188.1	WP_090296340.1	32.1	165	459	224	1.81e-11	185	347	8	157	1855294	Pseudomonadota	Ensifer	Ensifer sp. YR511
Pcub-SC1982_037_000187.1	MBK8806611.1	36.5	208	219	216	2.48e-31	1	207	1	202		N/A	N/A	N/A
Pcub-SC1982_037_000186.1	WP_183573343.1	54.1	122	118	122	5.61e-36	1	118	1	122	2723088	Bacteroidota	Mucilaginibacter	Mucilaginibacter geliditolerans
Pcub-SC1982_037_000185.1	MCG9909815.1	59.4	175	198	187	1.52e-53	9	179	13	183		N/A	N/A	N/A
Pcub-SC1982_037_000063.1	MCE2733754.1	44.3	255	257	248	6.51e-56	2	256	3	245		N/A	N/A	N/A
Pcub-SC1982_037_000064.1	WP_295874751.1	51.4	146	150	151	4.31e-45	1	146	1	145		N/A	N/A	N/A
Pcub-SC1982_037_000065.1	MCG9912544.1	89.7	738	747	748	0.0	10	747	12	748		N/A	N/A	N/A
Pcub-SC1982_037_000066.1	MDB5226237.1	67.0	358	373	372	7.24e-186	14	371	14	371		N/A	N/A	N/A
Pcub-SC1982_037_000067.1	MBL0913424.1	47.7	535	540	997	2.49e-149	10	539	462	996		N/A	N/A	N/A
Pcub-SC1982_037_000184.1	MBK8636004.1	65.5	383	376	383	5.34e-175	4	376	1	383		N/A	N/A	N/A
Pcub-SC1982_037_000183.1	MBL0913302.1	70.3	844	949	951	0.0	1	840	1	842		N/A	N/A	N/A
Pcub-SC1982_037_000182.1	MCG9912540.1	81.3	267	267	267	3.90e-156	1	267	1	267		N/A	N/A	N/A
Pcub-SC1982_037_000181.1	MCG9912539.1	93.2	355	358	358	3.17e-235	1	355	1	355		N/A	N/A	N/A
Pcub-SC1982_037_000180.1	MCG9912538.1	84.3	389	389	389	4.34e-244	1	389	1	389		N/A	N/A	N/A
Pcub-SC1982_037_000179.1	MCG9912537.1	79.9	681	685	680	0.0	1	681	1	680		N/A	N/A	N/A
Pcub-SC1982_037_000178.1	MCG9912536.1	76.9	65	76	93	7.95e-24	1	65	23	87		N/A	N/A	N/A
Pcub-SC1982_037_000177.1	MCG9912535.1	68.9	1022	1032	1018	0.0	1	1014	1	1011		N/A	N/A	N/A
Pcub-SC1982_037_000068.1	MCG9912534.1	65.1	711	733	733	0.0	18	728	22	731		N/A	N/A	N/A
Pcub-SC1982_037_000176.1	MCG9912532.1	92.3	313	335	313	6.78e-204	23	335	1	313		N/A	N/A	N/A
Pcub-SC1982_037_000175.1	MCG9912530.1	87.1	224	425	233	1.89e-134	5	228	1	224		N/A	N/A	N/A
Pcub-SC1982_037_000174.1	MCG9912529.1	57.0	256	264	258	3.75e-102	7	262	1	256		N/A	N/A	N/A
Pcub-SC1982_037_000069.1	MCG9912527.1	72.1	183	322	195	9.37e-93	140	322	13	195		N/A	N/A	N/A
Pcub-SC1982_037_000173.1	MCG9912525.1	72.1	380	1132	409	9.84e-196	462	841	14	393		N/A	N/A	N/A
Pcub-SC1982_037_000070.1	MCG9912523.1	68.1	229	230	228	6.33e-104	1	229	1	227		N/A	N/A	N/A
Pcub-SC1982_037_000172.1	WP_009579513.1	48.4	155	157	159	1.89e-47	2	156	4	158	881893;1237149	Bacteroidota	Fulvivirga	Fulvivirga imtechensis
Pcub-SC1982_037_000171.1	WP_255080682.1	45.0	131	173	178	1.75e-33	42	172	5	126	2487331	Bacteroidota	Lacihabitans	Lacihabitans sp. CCS-44
Pcub-SC1982_037_000170.1	MCG9912522.1	60.0	160	171	173	3.40e-64	5	163	3	162		N/A	N/A	N/A
Pcub-SC1982_037_000169.1	MCG9912520.1	64.4	191	553	252	1.52e-77	197	387	17	207		N/A	N/A	N/A
Pcub-SC1982_037_000071.1	MCG9912518.1	68.9	984	2014	995	0.0	67	995	1	979		N/A	N/A	N/A
Pcub-SC1982_037_000072.1	MCG9912516.1	86.7	428	854	438	2.61e-268	1	428	1	428		N/A	N/A	N/A
Pcub-SC1982_037_000073.1	MCG9912513.1	77.4	598	598	597	0.0	1	598	1	597		N/A	N/A	N/A
Pcub-SC1982_037_000074.1	MCG9912511.1	78.8	198	375	212	1.49e-101	2	199	4	200		N/A	N/A	N/A
Pcub-SC1982_037_000075.1	MCG9912509.1	78.2	262	263	262	5.07e-103	1	262	1	262		N/A	N/A	N/A
Pcub-SC1982_037_000168.1	MCG9912508.1	66.1	472	518	492	2.00e-226	43	511	22	491		N/A	N/A	N/A
Pcub-SC1982_037_000167.1	MCG9912507.1	58.3	84	432	478	2.36e-15	1	84	1	73		N/A	N/A	N/A
Pcub-SC1982_037_000076.1	GIV43542.1	74.2	458	440	492	5.07e-242	1	440	35	492	2044936	Bacteroidota	N/A	Bacteroidia bacterium
Pcub-SC1982_037_000166.1	MCG9910889.1	80.9	356	394	356	4.71e-216	39	394	1	356		N/A	N/A	N/A
Pcub-SC1982_037_000077.1	MCG9910887.1	56.7	561	571	568	1.58e-236	7	567	7	566		N/A	N/A	N/A
Pcub-SC1982_037_000165.1	MCG9910885.1	87.2	509	929	507	1.67e-298	1	509	1	507		N/A	N/A	N/A
Pcub-SC1982_037_000078.1	MCG9910884.1	73.1	167	167	188	6.17e-81	1	167	22	188		N/A	N/A	N/A
Pcub-SC1982_037_000079.1	MCG9911928.1	58.4	729	938	735	3.50e-310	1	729	1	727		N/A	N/A	N/A
Pcub-SC1982_037_000080.1	MCG9911930.1	76.9	801	931	834	0.0	21	821	21	820		N/A	N/A	N/A
Pcub-SC1982_037_000081.1	MCG9911932.1	53.2	94	121	126	3.41e-29	16	109	26	119		N/A	N/A	N/A
Pcub-SC1982_037_000082.1	MCG9911933.1	66.9	157	155	156	6.66e-68	1	155	1	156		N/A	N/A	N/A
Pcub-SC1982_037_000083.1	MCX7743134.1	33.3	555	576	908	1.83e-78	38	574	368	906		N/A	N/A	N/A
Pcub-SC1982_037_000084.1	MCE5252079.1	41.8	91	412	743	1.72e-08	42	131	356	446		N/A	N/A	N/A
Pcub-SC1982_037_000085.1	MCG9912263.1	38.6	513	568	1386	1.14e-99	20	469	50	556		N/A	N/A	N/A
Pcub-SC1982_037_000164.1	WP_187562890.1	36.4	209	218	221	3.20e-36	1	208	1	206	2759037	Bacteroidota	Kordia	Kordia aestuariivivens
Pcub-SC1982_037_000163.1	WP_146018444.1	45.7	92	304	759	9.27e-11	209	300	652	742	239935	Verrucomicrobiota	Akkermansia	Akkermansia muciniphila
Pcub-SC1982_037_000162.1	HQW01305.1	64.1	301	309	308	2.92e-139	8	308	9	308		N/A	N/A	N/A
Pcub-SC1982_037_000161.1	MBK8227399.1	77.0	122	129	124	5.96e-62	1	122	1	121		N/A	N/A	N/A
Pcub-SC1982_037_000086.1	MCG9911684.1	35.6	340	333	533	2.77e-43	5	331	14	340		N/A	N/A	N/A
Pcub-SC1982_037_000160.1	WP_183866863.1	70.4	280	287	284	2.17e-146	1	280	1	280	188932	Bacteroidota	Pedobacter	Pedobacter cryoconitis
Pcub-SC1982_037_000087.1	WP_124636238.1	56.7	233	257	255	7.46e-85	19	249	17	248	2153357	Bacteroidota	Taibaiella	Taibaiella sp. KBW10
Pcub-SC1982_037_000088.1	WP_052259487.1	68.4	452	451	473	2.88e-237	3	450	21	472	196869;1979369	Bacteroidota	Flavobacterium	Flavobacterium sp. AJR
Pcub-SC1982_037_000159.1	HYG14706.1	52.5	524	525	518	2.43e-194	1	523	1	516		N/A	N/A	N/A
Pcub-SC1982_037_000158.1	WP_200248646.1	83.0	171	964	181	4.07e-95	104	274	1	171	2800328	Bacteroidota	Chryseobacterium	Chryseobacterium paridis
Pcub-SC1982_037_000157.1	WP_264692889.1	79.9	134	269	142	2.97e-73	136	269	9	142	2987688	Bacteroidota	Hymenobacter	Hymenobacter latericus
Pcub-SC1982_037_000156.1	WP_298938853.1	42.6	474	475	472	2.99e-124	7	473	5	471	206096	Bacteroidota	Dysgonomonas	uncultured Dysgonomonas sp.
Pcub-SC1982_037_000155.1	WP_153639411.1	75.2	371	591	374	2.08e-188	4	372	3	373	2652390	Bacteroidota	Prolixibacter	Prolixibacter sp. NT017
Pcub-SC1982_037_000089.1	MCG9911936.1	93.1	422	1502	443	9.92e-258	1	422	1	422		N/A	N/A	N/A
Pcub-SC1982_037_000090.1	MCG9911940.1	86.6	149	150	150	1.85e-92	1	149	1	149		N/A	N/A	N/A
Pcub-SC1982_037_000154.1	NBO61890.1	28.5	330	342	379	1.99e-20	10	316	43	365		N/A	N/A	N/A
Pcub-SC1982_037_000153.1	MBE2246486.1	32.4	333	338	348	5.03e-35	1	320	1	332		N/A	N/A	N/A
Pcub-SC1982_037_000152.1	MDC1212062.1	50.5	743	1623	805	2.31e-241	643	1334	30	770		N/A	N/A	N/A
Pcub-SC1982_037_000091.1	MCG9911941.1	95.0	338	342	339	2.69e-225	5	342	1	338		N/A	N/A	N/A
Pcub-SC1982_037_000092.1	MCG9911943.1	63.4	339	482	339	1.40e-103	145	482	2	339		N/A	N/A	N/A
Pcub-SC1982_037_000094.1	MBE2246498.1	37.3	1071	1222	1249	2.29e-154	188	1222	206	1249		N/A	N/A	N/A
Pcub-SC1982_037_000095.1	MBE2246499.1	37.5	1118	1357	1240	4.97e-188	262	1357	145	1240		N/A	N/A	N/A
Pcub-SC1982_037_000096.1	MBE2246499.1	34.8	1058	1170	1240	5.31e-156	139	1170	200	1240		N/A	N/A	N/A
Pcub-SC1982_037_000097.1	MBE2246498.1	35.5	1051	1152	1249	1.49e-157	145	1150	213	1247		N/A	N/A	N/A
Pcub-SC1982_037_000098.1	MBE2246499.1	36.7	1026	1166	1240	2.94e-169	164	1166	231	1240		N/A	N/A	N/A
Pcub-SC1982_037_000099.1	MBE2246498.1	34.4	1225	1221	1249	6.58e-172	39	1221	55	1249		N/A	N/A	N/A
Pcub-SC1982_037_000100.1	MCG9911944.1	91.1	403	406	403	6.19e-261	1	403	1	403		N/A	N/A	N/A
Pcub-SC1982_037_000101.1	MCG9911945.1	82.2	493	493	493	3.90e-295	1	493	1	493		N/A	N/A	N/A
Pcub-SC1982_037_000102.1	WP_287403171.1	49.2	236	237	238	4.78e-79	1	236	1	236	2982024	Bacteroidota	Candidatus Brachybacter	Candidatus Brachybacter algidus
Pcub-SC1982_037_000151.1	MCB9014152.1	54.3	291	292	305	2.12e-117	2	292	15	305		N/A	N/A	N/A
Pcub-SC1982_037_000150.1	MCG9911949.1	90.4	397	1311	436	3.67e-254	1	397	29	425		N/A	N/A	N/A
Pcub-SC1982_037_000149.1	MCG9911951.1	89.2	316	320	319	1.17e-197	1	316	1	316		N/A	N/A	N/A
Pcub-SC1982_037_000148.1	MCG9911955.1	70.5	322	663	337	1.76e-154	1	322	1	322		N/A	N/A	N/A
Pcub-SC1982_037_000103.1	MCG9911956.1	88.5	453	900	467	9.00e-293	1	453	1	453		N/A	N/A	N/A
Pcub-SC1982_037_000147.1	MCG9911960.1	80.6	392	740	398	7.76e-239	1	392	1	391		N/A	N/A	N/A
Pcub-SC1982_037_000104.1	MBP9097262.1	52.5	459	472	462	9.03e-162	5	463	2	451		N/A	N/A	N/A
Pcub-SC1982_037_000105.1	HKZ68317.1	64.7	136	264	141	3.27e-61	128	263	5	140		N/A	N/A	N/A
Pcub-SC1982_037_000106.1	WP_054405969.1	56.8	169	167	174	9.44e-61	1	165	1	169	1202724	Bacteroidota	Flavobacterium	Flavobacterium akiainvivens
Pcub-SC1982_037_000107.1	MCG9911961.1	77.6	272	272	272	3.88e-147	1	272	1	272		N/A	N/A	N/A
Pcub-SC1982_037_000108.1	MCG9911962.1	70.3	424	424	425	1.10e-227	1	424	1	424		N/A	N/A	N/A
Pcub-SC1982_037_000109.1	MCG9911964.1	56.1	294	333	300	3.13e-114	35	328	3	296		N/A	N/A	N/A
Pcub-SC1982_037_000110.1	MCG9911969.1	93.4	380	822	380	7.66e-252	443	822	1	380		N/A	N/A	N/A
Pcub-SC1982_037_000111.1	MBL0910780.1	68.5	54	57	127	2.36e-19	2	55	72	125		N/A	N/A	N/A
Pcub-SC1982_037_000112.1	MCG9911972.1	72.9	288	469	293	1.12e-144	84	371	6	293		N/A	N/A	N/A
Pcub-SC1982_037_000113.1	MCG9911974.1	95.4	395	395	395	2.82e-275	1	395	1	395		N/A	N/A	N/A
Pcub-SC1982_037_000114.1	MCG9911976.1	91.8	184	184	183	8.94e-114	1	184	1	183		N/A	N/A	N/A
Pcub-SC1982_037_000115.1	KAF1856443.1	68.6	369	524	372	7.52e-174	1	359	1	369	3870	Streptophyta	Lupinus	Lupinus albus
Pcub-SC1982_037_000116.1	KAF1853387.1	71.4	2682	2816	2664	0.0	125	2800	11	2661	3870	Streptophyta	Lupinus	Lupinus albus
Pcub-SC1982_037_000117.1	MCG9911983.1	87.1	101	103	102	4.50e-57	3	103	2	102		N/A	N/A	N/A
Pcub-SC1982_037_000118.1	UPT66074.1	24.3	321	360	365	1.08e-14	61	360	59	365	2982687	Bacteroidota	N/A	Sphingobacteriales bacterium JAD_PAG50586_3
Pcub-SC1982_037_000119.1	MCX7744015.1	27.4	358	383	374	7.57e-13	52	383	36	374		N/A	N/A	N/A
Pcub-SC1982_037_000120.1	MCG9911984.1	62.0	395	392	388	1.29e-171	1	392	1	388		N/A	N/A	N/A
Pcub-SC1982_037_000121.1	MCG9910129.1	42.9	326	317	361	2.77e-64	14	311	33	353		N/A	N/A	N/A
Pcub-SC1982_037_000122.1	MBL0913380.1	41.0	510	735	603	3.53e-107	1	498	1	490		N/A	N/A	N/A
Pcub-SC1982_037_000124.1	PLW93372.1	32.9	70	149	152	2.34e-05	20	87	17	86	2053303	Bacteroidota	N/A	Marinilabiliales bacterium
Pcub-SC1982_037_000125.1	MCU0434499.1	42.0	445	607	1028	3.91e-95	63	491	398	834		N/A	N/A	N/A
Pcub-SC1982_037_000126.1	MDA9254216.1	39.7	957	962	956	7.25e-216	33	960	24	954		N/A	N/A	N/A
Pcub-SC1982_037_000127.1	MDA9254216.1	41.0	959	960	956	3.13e-223	29	958	22	954		N/A	N/A	N/A
Pcub-SC1982_037_000128.1	MBX7204252.1	34.6	228	296	303	1.42e-22	13	237	22	235		N/A	N/A	N/A
Pcub-SC1982_037_000146.1	MBX2950904.1	44.0	416	816	417	4.51e-97	416	813	9	416		N/A	N/A	N/A
Pcub-SC1982_037_000129.1	MCG9912387.1	60.9	317	622	317	1.17e-139	307	622	1	317		N/A	N/A	N/A
Pcub-SC1982_037_000145.1	MCG9912388.1	74.7	831	827	873	0.0	11	827	43	873		N/A	N/A	N/A
Pcub-SC1982_037_000130.1	MCG9912389.1	64.1	415	416	413	1.03e-180	1	414	1	411		N/A	N/A	N/A
Pcub-SC1982_037_000131.1	MCG9912390.1	63.6	316	319	345	4.42e-126	1	297	13	328		N/A	N/A	N/A
Pcub-SC1982_037_000132.1	MCG9912391.1	78.4	445	445	443	1.85e-252	1	445	1	443		N/A	N/A	N/A
Pcub-SC1982_037_000133.1	MCG9912392.1	90.3	247	414	264	2.11e-162	3	249	6	252		N/A	N/A	N/A
Pcub-SC1982_037_000144.1	PCJ64321.1	26.5	456	691	733	1.52e-29	263	690	293	733	1898104	Bacteroidota	N/A	Bacteroidota bacterium
Pcub-SC1982_037_000143.1	MBL7712124.1	37.3	963	1219	975	4.37e-182	46	984	17	971		N/A	N/A	N/A
Pcub-SC1982_037_000134.1	MBN8671365.1	42.5	616	627	634	5.07e-137	26	623	24	627		N/A	N/A	N/A
Pcub-SC1982_037_000135.1	MDB5226280.1	39.6	106	121	121	5.38e-17	13	117	16	121		N/A	N/A	N/A
Pcub-SC1982_037_000142.1	MCG9912395.1	53.9	490	590	511	1.03e-180	4	492	5	493		N/A	N/A	N/A
Pcub-SC1982_037_000136.1	MCG9912394.1	61.3	199	202	195	1.78e-86	4	202	1	195		N/A	N/A	N/A
Pcub-SC1982_037_000137.1	MCG9912396.1	73.1	234	284	277	8.14e-123	40	273	44	277		N/A	N/A	N/A
Pcub-SC1982_037_000141.1	MCG9910935.1	83.4	445	445	445	2.32e-281	1	445	1	445		N/A	N/A	N/A
Pcub-SC1982_037_000140.1	MCG9910937.1	31.1	122	161	154	3.79e-14	37	158	34	153		N/A	N/A	N/A
Pcub-SC1982_037_000138.1	MCG9910938.1	73.7	482	1253	513	5.45e-225	1	458	2	474		N/A	N/A	N/A
Pcub-SC1982_037_000139.1	QQS29239.1	68.8	333	331	428	1.61e-151	1	331	96	428	2044944	Bacteroidota	N/A	Sphingobacteriales bacterium
Pcub-SC1982_071_000078.1	MCY7350667.1	52.7	283	274	450	4.20e-87	1	273	1	282		N/A	N/A	N/A
Pcub-SC1982_071_000077.1	MBL0911447.1	55.0	409	418	415	1.67e-146	4	411	2	410		N/A	N/A	N/A
Pcub-SC1982_071_000076.1	MCG9911377.1	64.9	202	205	204	7.22e-77	1	202	1	201		N/A	N/A	N/A
Pcub-SC1982_071_000075.1	MCG9911378.1	50.4	131	196	188	3.48e-36	13	143	5	135		N/A	N/A	N/A
Pcub-SC1982_071_000074.1	MCG9911379.1	58.7	235	235	235	1.95e-96	1	235	1	235		N/A	N/A	N/A
Pcub-SC1982_071_000001.1	MCG9911380.1	64.7	419	434	431	7.09e-195	17	434	14	431		N/A	N/A	N/A
Pcub-SC1982_071_000073.1	WP_313324409.1	90.7	386	386	386	2.08e-261	1	386	1	386	3075618	Bacteroidota	Flavobacterium	Flavobacterium capsici
Pcub-SC1982_071_000072.1	MCG9911247.1	86.5	385	385	385	4.74e-262	1	385	1	385		N/A	N/A	N/A
Pcub-SC1982_071_000071.1	MCG9911248.1	73.8	263	269	265	3.33e-134	1	263	1	262		N/A	N/A	N/A
Pcub-SC1982_071_000002.1	WP_200507835.1	43.1	779	1001	1198	1.27e-159	25	783	333	1110	2793070	Bacteroidota	Adhaeribacter	Adhaeribacter terrigena
Pcub-SC1982_071_000003.1	MCG9911249.1	68.8	128	136	137	3.48e-47	8	135	8	135		N/A	N/A	N/A
Pcub-SC1982_071_000070.1	MCG9911257.1	67.7	99	99	99	1.46e-40	1	99	1	99		N/A	N/A	N/A
Pcub-SC1982_071_000069.1	MCG9911258.1	81.7	295	299	297	7.24e-172	1	295	1	295		N/A	N/A	N/A
Pcub-SC1982_071_000068.1	MCG9911259.1	85.2	317	333	317	1.05e-196	17	333	1	317		N/A	N/A	N/A
Pcub-SC1982_071_000004.1	MCG9910039.1	94.4	232	232	232	1.74e-153	1	232	1	232		N/A	N/A	N/A
Pcub-SC1982_071_000005.1	WP_031501860.1	73.7	76	78	117	3.43e-30	1	76	1	76	421525;1450526	Bacteroidota	Kaistella	Kaistella haifensis
Pcub-SC1982_071_000006.1	MCG9910037.1	92.2	218	218	218	1.33e-141	1	218	1	218		N/A	N/A	N/A
Pcub-SC1982_071_000007.1	MCG9910036.1	61.3	315	315	315	3.02e-142	1	315	1	315		N/A	N/A	N/A
Pcub-SC1982_071_000067.1	WP_118950909.1	60.3	224	232	230	1.11e-86	5	228	4	226	2301235	Bacteroidota	Taibaiella	Taibaiella helva
Pcub-SC1982_071_000066.1	WP_118972222.1	38.2	479	460	473	2.61e-95	7	459	2	472	1268548	Bacteroidota	Taibaiella	Taibaiella koreensis
Pcub-SC1982_071_000008.1	HUH34604.1	42.5	127	140	139	1.70e-24	2	128	6	126		N/A	N/A	N/A
Pcub-SC1982_071_000009.1	HHJ10846.1	38.6	446	477	480	1.51e-84	27	470	14	452		N/A	N/A	N/A
Pcub-SC1982_071_000010.1	MCG9910035.1	75.4	679	680	679	0.0	1	679	1	679		N/A	N/A	N/A
Pcub-SC1982_071_000065.1	MCG9911402.1	75.0	112	114	113	1.17e-55	3	114	2	113		N/A	N/A	N/A
Pcub-SC1982_071_000064.1	WP_074607087.1	87.0	254	427	257	1.03e-166	174	427	4	257	430522	Bacteroidota	Pedobacter	Pedobacter steynii
Pcub-SC1982_071_000063.1	MCG9911399.1	72.2	627	921	631	0.0	1	627	1	626		N/A	N/A	N/A
Pcub-SC1982_071_000062.1	MCG9911397.1	61.3	2130	2679	2172	0.0	81	2203	46	2171		N/A	N/A	N/A
Pcub-SC1982_071_000061.1	MCG9911395.1	65.6	630	909	656	4.89e-272	80	707	25	652		N/A	N/A	N/A
Pcub-SC1982_071_000011.1	MCG9911393.1	86.4	449	449	463	1.60e-282	1	449	15	463		N/A	N/A	N/A
Pcub-SC1982_071_000012.1	MCG9911391.1	90.4	342	487	343	2.57e-215	145	486	1	342		N/A	N/A	N/A
Pcub-SC1982_071_000013.1	MCG9911390.1	73.2	310	311	312	1.09e-175	1	310	1	310		N/A	N/A	N/A
Pcub-SC1982_071_000014.1	MCG9911384.1	72.7	370	655	400	2.64e-194	18	387	27	396		N/A	N/A	N/A
Pcub-SC1982_071_000060.1	MCG9911382.1	75.7	144	154	144	2.73e-71	11	154	1	144		N/A	N/A	N/A
Pcub-SC1982_071_000059.1	MCG9911327.1	58.7	121	121	170	5.89e-44	1	121	50	170		N/A	N/A	N/A
Pcub-SC1982_071_000015.1	MCG9911325.1	81.8	763	952	772	0.0	190	952	11	771		N/A	N/A	N/A
Pcub-SC1982_071_000016.1	MCG9911306.1	31.5	127	132	140	4.97e-13	1	126	1	127		N/A	N/A	N/A
Pcub-SC1982_071_000017.1	WP_293306139.1	37.2	218	214	218	4.50e-43	1	214	1	218	1947061	Bacteroidota	Pedobacter	Pedobacter sp. UBA5917
Pcub-SC1982_071_000018.1	WP_117178293.1	52.4	225	225	234	2.26e-85	1	225	1	225	2027857	Bacteroidota	Mariniflexile	Mariniflexile rhizosphaerae
