id	source	Description	rnaseq_gene_count_Phum_OR502AA_2dpi	rnaseq_gene_count_Phum_OR502AA_3dpi	rnaseq_gene_count_Phum_OR502AA_4dpi
Phum-OR502AA_002_000742.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000150.1	blastp	Homology to Peronospora effusa predicted protein UIZ29600.1	0	0	0
Phum-OR502AA_002_000741.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000151.1	blastp	Homology to Peronospora effusa predicted protein UIZ29600.1	0	0	0
Phum-OR502AA_002_000740.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000152.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000739.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000153.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000738.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000154.1	blastp	Homology to Peronospora effusa predicted protein UIZ29600.1	0	0	0
Phum-OR502AA_002_000737.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000155.1	blastp	Homology to Peronospora effusa predicted protein UIZ29600.1	0	0	0
Phum-OR502AA_002_000736.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000156.1	blastp	Homology to Peronospora effusa predicted protein UIZ29600.1	0	0	0
Phum-OR502AA_002_000735.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000157.1	blastp	Homology to Peronospora effusa predicted protein UIZ29600.1	0	0	0
Phum-OR502AA_002_000734.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000158.1	blastp	Homology to Peronospora effusa predicted protein UIZ29600.1	0	0	0
Phum-OR502AA_002_000733.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000159.1	blastp	Homology to Peronospora effusa predicted protein UIZ29600.1	0	0	0
Phum-OR502AA_002_000732.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000160.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000731.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000161.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000730.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000162.1	blastp	Homology to Peronospora effusa predicted protein UIZ29600.1	0	0	0
Phum-OR502AA_002_000729.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000163.1	blastp	Homology to Peronospora effusa predicted protein UIZ29600.1	0	0	0
Phum-OR502AA_002_000728.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000164.1	blastp	Homology to Peronospora effusa predicted protein UIZ29600.1	0	0	0
Phum-OR502AA_002_000727.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000165.1	blastp	Homology to Peronospora effusa predicted protein UIZ29600.1	0	0	0
Phum-OR502AA_002_000726.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000166.1	blastp	Homology to Peronospora effusa predicted protein UIZ29600.1	0	0	0
Phum-OR502AA_002_000725.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000167.1	blastp	Homology to Peronospora effusa predicted protein UIZ29600.1	0	0	0
Phum-OR502AA_002_000724.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000168.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000723.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000169.1	blastp	Homology to Peronospora effusa predicted protein UIZ29600.1	0	0	0
Phum-OR502AA_002_000722.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000170.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000721.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000171.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000720.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000172.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000719.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000173.1	blastp	Homology to Peronospora effusa predicted protein UIZ29600.1	0	0	0
Phum-OR502AA_002_000718.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000174.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000717.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000175.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000716.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000176.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000715.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000177.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000714.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000178.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000713.1	unannotated	Hypothetical protein of unknown function	0	0	2
Phum-OR502AA_002_000179.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000712.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000180.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000711.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000181.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000710.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000182.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000709.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000183.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000708.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000184.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000707.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000185.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000706.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000186.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000705.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000187.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000704.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000188.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	3
Phum-OR502AA_002_000703.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000189.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000702.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000190.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000701.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000191.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	1
Phum-OR502AA_002_000700.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000192.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0.5
Phum-OR502AA_002_000699.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000193.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0.5
Phum-OR502AA_002_000698.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000194.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000697.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000195.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000196.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000696.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000197.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000198.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000695.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000199.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	0
Phum-OR502AA_002_000694.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000200.1	blastp	Homology to Peronospora effusa predicted protein CAI5716561.1	0	0	5
Phum-OR502AA_002_000693.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000692.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000201.1	eggnog	Catalyzes the formation of 6,7-dimethyl-8- ribityllumazine by condensation of 5-amino-6-(D- ribitylamino)uracil with 3,4-dihydroxy-2-butanone 4-phosphate	887	1114	1501
Phum-OR502AA_002_000691.1	eggnog	inner dynein arm assembly	139	273	308
Phum-OR502AA_002_000202.1	eggnog	domain-containing protein	1087	1613	2025
Phum-OR502AA_002_000690.1	eggnog	domain-containing protein	76.293	419.761	655.76
Phum-OR502AA_002_000203.1	eggnog	3'-5' exonuclease	76	60	68
Phum-OR502AA_002_000204.1	eggnog	domain-containing protein	2.707	123.239	207.24
Phum-OR502AA_002_000689.1	eggnog	Mannosyltransferase (PIG-M)	67	134	182
Phum-OR502AA_002_000688.1	eggnog	cilium movement involved in cell motility	3	74	93
Phum-OR502AA_002_000687.1	eggnog	assists the folding of proteins upon ATP hydrolysis	1995	2889	3799
Phum-OR502AA_002_000205.1	eggnog	Squalene epoxidase	9	130	263
Phum-OR502AA_002_000206.1	eggnog	COPI associated protein	337.955	1137.588	1488.269
Phum-OR502AA_002_000686.1	eggnog	COPI associated protein	147.045	572.953	844.731
Phum-OR502AA_002_000685.1	interproscan	PTHR21694 domain-containing protein	74	166	260
Phum-OR502AA_002_000207.1	eggnog	domain-containing protein	140	181	314
Phum-OR502AA_002_000684.1	eggnog	CCAAT-Binding transcription Factor	172	179	214
Phum-OR502AA_002_000208.1	eggnog	Leucine Rich repeats (2 copies)	22	108	114
Phum-OR502AA_002_000683.1	eggnog	3' exoribonuclease family, domain 1	125	51	83
Phum-OR502AA_002_000209.1	interproscan	G3DSA:1.25.40.10 domain-containing protein	174	224	465
Phum-OR502AA_002_000682.1	eggnog	Mitochondrial carrier protein	410	231	373
Phum-OR502AA_002_000210.1	eggnog	Ribosomal protein L24e	9247	8193	11952
Phum-OR502AA_002_000211.1	eggnog	Belongs to the class I-like SAM-binding methyltransferase superfamily	373	209	262
Phum-OR502AA_002_000681.1	eggnog	ASF1 like histone chaperone	353	436	571
Phum-OR502AA_002_000680.1	blastp	Homology to Phytophthora cinnamomi predicted protein KAG6623787.1	25	112	160
Phum-OR502AA_002_000679.1	eggnog	Transcription initiation factor IID, 18kD subunit	141	249	363
Phum-OR502AA_002_000212.1	eggnog	EF-hand domain pair	1	17	41
Phum-OR502AA_002_000678.1	eggnog	domain-containing protein	397	649	1124
Phum-OR502AA_002_000213.1	eggnog	voltage-gated potassium channel activity	201	209	359
Phum-OR502AA_002_000677.1	unannotated	Hypothetical protein of unknown function	34	14	30
Phum-OR502AA_002_000676.1	eggnog	gag-polypeptide of LTR copia-type	0	0	0
Phum-OR502AA_002_000675.1	interproscan	G3DSA:1.20.120.1750 domain-containing protein	2	2	13
Phum-OR502AA_002_000674.1	eggnog	WD40 repeats	2	34	340
Phum-OR502AA_002_000673.1	eggnog	YrhK-like protein	150	224	358
Phum-OR502AA_002_000214.1	eggnog	Photosystem II 12 kDa extrinsic protein (PsbU)	168	297	278
Phum-OR502AA_002_000215.1	eggnog	Sodium/calcium exchanger protein	202	369	506
Phum-OR502AA_002_000672.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7393204.1	106	141	246
Phum-OR502AA_002_000671.1	eggnog	protein ubiquitination	107	719	709
Phum-OR502AA_002_000216.1	interproscan	PTHR16057 domain-containing protein	77	228	234
Phum-OR502AA_002_000670.1	eggnog	CT11-RanBPM	147	240	326
Phum-OR502AA_002_000217.1	eggnog	Vps5 C terminal like	189	310	530
Phum-OR502AA_002_000669.1	blastp	Homology to Peronospora effusa predicted protein CAI5702757.1	260	351	531
Phum-OR502AA_002_000218.1	eggnog	O-methyltransferase that catalyzes the 2 O-methylation steps in the ubiquinone biosynthetic pathway	318	485	610
Phum-OR502AA_002_000668.1	eggnog	Domain present in PSD-95, Dlg, and ZO-1/2	24	215	220
Phum-OR502AA_002_000667.1	eggnog	pre-mRNA processing factor 4 (PRP4) like	146	203	272
Phum-OR502AA_002_000219.1	eggnog	domain-containing protein	198	283	386
Phum-OR502AA_002_000666.1	eggnog	CCAAT-binding transcription factor (CBF-B/NF-YA) subunit B	10	33	37
Phum-OR502AA_002_000220.1	eggnog	The coatomer is a cytosolic protein complex that binds to dilysine motifs and reversibly associates with Golgi non- clathrin-coated vesicles, which further mediate biosynthetic protein transport from the ER, via the Golgi up to the trans Golgi network	3096	3759	4939
Phum-OR502AA_002_000221.1	eggnog	COPI associated protein	404.239	494.291	873.879
Phum-OR502AA_002_000665.1	eggnog	COPI associated protein	593.761	757.168	1062.121
Phum-OR502AA_002_000222.1	eggnog	regulation of centriole replication	138	234	407
Phum-OR502AA_002_000664.1	eggnog	ER-Golgi trafficking TRAPP I complex 85 kDa subunit	496	774	1115
Phum-OR502AA_002_000223.1	eggnog	ORMDL family	801	809	1170
Phum-OR502AA_002_000663.1	eggnog	ADP-ribosylation factor family	1008	1724	2727
Phum-OR502AA_002_000662.1	eggnog	Mago nashi protein	301	357	591
Phum-OR502AA_002_000224.1	eggnog	Transcription factor DP	147	202	343
Phum-OR502AA_002_000225.1	eggnog	domain-containing protein	451	653	989
Phum-OR502AA_002_000226.1	eggnog	Vps52 / Sac2 family	328	517	718
Phum-OR502AA_002_000661.1	eggnog	Citrate transporter	801	954	1453
Phum-OR502AA_002_000227.1	eggnog	Leucine Rich repeat	140	191	283
Phum-OR502AA_002_000228.1	eggnog	Integrator complex subunit 3	497	635	905
Phum-OR502AA_002_000229.1	eggnog	ADP-ribosylation factor family. Source PGD	82	91	161
Phum-OR502AA_002_000230.1	unannotated	Hypothetical protein of unknown function	16	32	49
Phum-OR502AA_002_000231.1	eggnog	GTP binding	7	109	71
Phum-OR502AA_002_000232.1	eggnog	JmjC domain, hydroxylase	181	315	501
Phum-OR502AA_002_000233.1	eggnog	JmjC domain, hydroxylase	0	13	25
Phum-OR502AA_002_000660.1	eggnog	domain-containing protein	1540	3360	3175
Phum-OR502AA_002_000659.1	eggnog	Phosphatidylinositol N-acetylglucosaminyltransferase	19	42	59
Phum-OR502AA_002_000658.1	eggnog	Triose-phosphate Transporter family	215	476	570
Phum-OR502AA_002_000657.1	eggnog	WD40 repeats	165	1256	964
Phum-OR502AA_002_000234.1	eggnog	Ferrous iron transport protein B	96	183	192
Phum-OR502AA_002_000656.1	eggnog	Phosphatidylinositol 3- and 4-kinase	1	378	357
Phum-OR502AA_002_000235.1	eggnog	Ribosomal protein L11 methyltransferase (PrmA)	146	196	222
Phum-OR502AA_002_000236.1	eggnog	SNARE complex assembly	216	347	530
Phum-OR502AA_002_000655.1	eggnog	Polysaccharide deacetylase	142	241	345
Phum-OR502AA_002_000237.1	eggnog	Proteasome subunit A N-terminal signature	2594	3789	4874
Phum-OR502AA_002_000238.1	blastp	Homology to Phytophthora megakarya predicted protein OWZ24809.1	7	107	87
Phum-OR502AA_002_000654.1	eggnog	Microtubule binding	389	863	1041
Phum-OR502AA_002_000653.1	eggnog	Protein present in Fab1, YOTB, Vac1, and EEA1	32	99	131
Phum-OR502AA_002_000652.1	eggnog	FYVE, RhoGEF and PH	1316	2277	3023
Phum-OR502AA_002_000651.1	eggnog	FYVE, RhoGEF and PH	492	415	709
Phum-OR502AA_002_000650.1	eggnog	Rho guanyl-nucleotide exchange factor activity	34	167	191
Phum-OR502AA_002_000649.1	eggnog	PSP1 C-terminal conserved region	741	1249	1953
Phum-OR502AA_002_000239.1	eggnog	3'5'-cyclic nucleotide phosphodiesterase	91	105	219
Phum-OR502AA_002_000648.1	eggnog	regulation of cilium movement involved in cell motility	155	255	392
Phum-OR502AA_002_000647.1	interproscan	PTHR31569 domain-containing protein	110	127	197
Phum-OR502AA_002_000240.1	eggnog	serine transport (SERINC3)	255	273	477
Phum-OR502AA_002_000646.1	eggnog	domain-containing protein	740	890	1232
Phum-OR502AA_002_000241.1	eggnog	Eukaryotic elongation factor 5A hypusine, DNA-binding OB fold	10780	8709	13231
Phum-OR502AA_002_000645.1	eggnog	Type I phosphodiesterase / nucleotide pyrophosphatase	133	162	252
Phum-OR502AA_002_000644.1	eggnog	Taurine catabolism dioxygenase TauD, TfdA family	51.422	131.3	162.518
Phum-OR502AA_002_000643.1	eggnog	Removes the phosphate from trehalose 6-phosphate to produce free trehalose	116.811	169.17	267.154
Phum-OR502AA_002_000642.1	eggnog	Ribosomal L32p protein family	17	6	15
Phum-OR502AA_002_000242.1	eggnog	Removes the phosphate from trehalose 6-phosphate to produce free trehalose	350.189	305.83	503.846
Phum-OR502AA_002_000243.1	eggnog	Taurine catabolism dioxygenase TauD, TfdA family	39.578	99.7	188.482
Phum-OR502AA_002_000244.1	eggnog	Ribonuclease-III-like	279	377	442
Phum-OR502AA_002_000641.1	eggnog	domain-containing protein	237	319	412
Phum-OR502AA_002_000245.1	eggnog	domain-containing protein	270	360	414
Phum-OR502AA_002_000246.1	interproscan	PTHR13056 domain-containing protein	91	164	222
Phum-OR502AA_002_000247.1	eggnog	negative regulation of proteasomal protein catabolic process (PSMF1)	315	478	724
Phum-OR502AA_002_000640.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7393267.1	155	246	334
Phum-OR502AA_002_000639.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0520902.1	517	476	644
Phum-OR502AA_002_000638.1	eggnog	domain-containing protein	664	1027	1344
Phum-OR502AA_002_000637.1	eggnog	Cellulase (glycosyl hydrolase family 5)	0	3	12
Phum-OR502AA_002_000248.1	unannotated	Hypothetical protein of unknown function	11	19	25
Phum-OR502AA_002_000636.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7393283.1	6	74.894	166.234
Phum-OR502AA_002_000249.1	eggnog	domain-containing protein	589	889	1353
Phum-OR502AA_002_000635.1	eggnog	domain-containing protein	1125	1719	2403
Phum-OR502AA_002_000634.1	eggnog	Ankyrin repeats (many copies)	164	277	397
Phum-OR502AA_002_000250.1	eggnog	DHHC palmitoyltransferase	100	157	157
Phum-OR502AA_002_000633.1	eggnog	domain-containing protein	141	237	362
Phum-OR502AA_002_000251.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7393283.1	0	12.106	29.766
Phum-OR502AA_002_000252.1	eggnog	Binds to the signal sequence of presecretory protein when they emerge from the ribosomes and transfers them to TRAM (translocating chain-associating membrane protein)	577	698	940
Phum-OR502AA_002_000253.1	eggnog	Ion channel	5	75	92
Phum-OR502AA_002_000632.1	eggnog	Anaphase-promoting complex, cyclosome, subunit 4	112	146	216
Phum-OR502AA_002_000631.1	eggnog	domain-containing protein	0	9	9
Phum-OR502AA_002_000254.1	eggnog	RNA-binding component of the eukaryotic translation initiation factor 3 (eIF-3) complex, which is involved in protein synthesis of a specialized repertoire of mRNAs and, together with other initiation factors, stimulates binding of mRNA and methionyl-tRNAi to the 40S ribosome	2221	2080	2573
Phum-OR502AA_002_000255.1	eggnog	domain-containing protein	360	613	952
Phum-OR502AA_002_000630.1	eggnog	Protein of unknown function (DUF445)	221	547	724
Phum-OR502AA_002_000256.1	eggnog	dolichyl monophosphate biosynthetic process	144	216	344
Phum-OR502AA_002_000629.1	eggnog	domain-containing protein	77	104	181
Phum-OR502AA_002_000257.1	eggnog	Domain of unknown function (DUF543)	1774	1733	2661
Phum-OR502AA_002_000628.1	eggnog	Prephenate dehydrogenase	3353	6683	7911
Phum-OR502AA_002_000258.1	eggnog	domain-containing protein	1	22.854	50.165
Phum-OR502AA_002_000627.1	interproscan	PTHR31585 domain-containing protein	2	16.184	18.351
Phum-OR502AA_002_000259.1	eggnog	A-type (transient outward) potassium channel activity	0	18.816	37.649
Phum-OR502AA_002_000626.1	eggnog	domain-containing protein	0	75.146	112.835
Phum-OR502AA_002_000260.1	eggnog	Stage V sporulation protein AD (SpoVAD)	3121	5784	7015
Phum-OR502AA_002_000625.1	eggnog	Ribosomal protein S8e	483	396	496
Phum-OR502AA_002_000261.1	eggnog	domain-containing protein	378	555	657
Phum-OR502AA_002_000624.1	blastp	Homology to Peronospora destructor predicted protein CAI5726725.1	14	18	21
Phum-OR502AA_002_000262.1	eggnog	DNA mismatch repair protein Mlh1 C-terminus	27	56	135
Phum-OR502AA_002_000263.1	eggnog	domain-containing protein	435	855	1086
Phum-OR502AA_002_000623.1	unannotated	Hypothetical protein of unknown function	29	41	81
Phum-OR502AA_002_000622.1	eggnog	BT1 family	25	26	30
Phum-OR502AA_002_000264.1	eggnog	BT1 family	11	4	11
Phum-OR502AA_002_000265.1	eggnog	domain-containing protein	57	51	97
Phum-OR502AA_002_000621.1	eggnog	domain-containing protein	17	29	30
Phum-OR502AA_002_000266.1	eggnog	domain-containing protein	591	499	638
Phum-OR502AA_002_000267.1	eggnog	Armadillo/beta-catenin-like repeat	0	124	194
Phum-OR502AA_002_000620.1	eggnog	UAA transporter family	31	77	66
Phum-OR502AA_002_000619.1	eggnog	Protein of unknown function (DUF3712)	0	1	2
Phum-OR502AA_002_000268.1	unannotated	Hypothetical protein of unknown function	70	33	71
Phum-OR502AA_002_000269.1	eggnog	domain-containing protein	118	112	203
Phum-OR502AA_002_000270.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000618.1	eggnog	domain-containing protein	21	17	49
Phum-OR502AA_002_000271.1	interproscan	YEATS_TFIID14_like (cd16910)	250	581	760
Phum-OR502AA_002_000272.1	eggnog	domain-containing protein	5743	9450	15012
Phum-OR502AA_002_000617.1	eggnog	Dephospho-CoA kinase	103	128	238
Phum-OR502AA_002_000273.1	blastp	Homology to Phytophthora palmivora predicted protein POM81267.1	47	110	132
Phum-OR502AA_002_000616.1	eggnog	Uncharacterised protein family UPF0047	313	435	551
Phum-OR502AA_002_000274.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7391004.1	30	87	426
Phum-OR502AA_002_000615.1	eggnog	Ankyrin repeat	4	79	68
Phum-OR502AA_002_000614.1	blastp	Homology to Phytophthora sojae predicted protein XP_009526260.1	48.629	60.929	124.179
Phum-OR502AA_002_000275.1	eggnog	Condensin complex subunit 2	462	795	1192
Phum-OR502AA_002_000613.1	eggnog	Organic solute transporter Ostalpha	119	180	238
Phum-OR502AA_002_000276.1	blastp	Homology to Phytophthora pseudosyringae predicted protein KAG7391000.1	22.371	33.071	62.821
Phum-OR502AA_002_000612.1	eggnog	Prephenate dehydratase	2205	2439	3042
Phum-OR502AA_002_000277.1	eggnog	domain-containing protein	279	298	427
Phum-OR502AA_002_000611.1	eggnog	Binds the poly(A) tail of mRNA	8156	8097	10504
Phum-OR502AA_002_000278.1	eggnog	ubiquitin-protein transferase activity	315	380	472
Phum-OR502AA_002_000610.1	blastp	Homology to Peronospora belbahrii predicted protein CAH0482652.1	174	304	404
Phum-OR502AA_002_000609.1	eggnog	RecQ-mediated genome instability protein 2	18	25	27
Phum-OR502AA_002_000279.1	eggnog	MuDR family transposase	153	176	241
Phum-OR502AA_002_000608.1	blastp	Homology to Phytophthora palmivora predicted protein POM65590.1	121	231	303
Phum-OR502AA_002_000607.1	eggnog	Aldehyde dehydrogenase family	0	13.381	33.393
Phum-OR502AA_002_000606.1	eggnog	Aldehyde dehydrogenase family	0	6.212	5.085
Phum-OR502AA_002_000280.1	eggnog	Aldehyde dehydrogenase family	25	135.407	296.522
Phum-OR502AA_002_000281.1	eggnog	Domain found in IF2B/IF5	1578	2010	2777
Phum-OR502AA_002_000282.1	eggnog	Nup85 Nucleoporin	623	840	1110
Phum-OR502AA_002_000605.1	eggnog	Phosphotransferase enzyme family	6	57	101
Phum-OR502AA_002_000283.1	eggnog	Calcium-activated chloride channel	1	39	42
Phum-OR502AA_002_000284.1	eggnog	Found in Skp1 protein family	1146	1466	2310
Phum-OR502AA_002_000604.1	eggnog	RNA transport	820	1116	1640
Phum-OR502AA_002_000603.1	unannotated	Hypothetical protein of unknown function	112	197	324
Phum-OR502AA_002_000285.1	eggnog	DegT/DnrJ/EryC1/StrS aminotransferase family	196	263	371
Phum-OR502AA_002_000602.1	eggnog	Splits internally a 1,3-beta-glucan molecule and transfers the newly generated reducing end (the donor) to the non- reducing end of another 1,3-beta-glucan molecule (the acceptor) forming a 1,3-beta linkage, resulting in the elongation of 1,3- beta-glucan chains in the cell wall	6	916	1012
Phum-OR502AA_002_000601.1	eggnog	Splits internally a 1,3-beta-glucan molecule and transfers the newly generated reducing end (the donor) to the non- reducing end of another 1,3-beta-glucan molecule (the acceptor) forming a 1,3-beta linkage, resulting in the elongation of 1,3- beta-glucan chains in the cell wall	1801	2226	3862
Phum-OR502AA_002_000286.1	eggnog	Ras of Complex, Roc, domain of DAPkinase	26	156	168
Phum-OR502AA_002_000600.1	unannotated	Hypothetical protein of unknown function	0	0	0
Phum-OR502AA_002_000287.1	unannotated	Hypothetical protein of unknown function	17	30	44
Phum-OR502AA_002_000599.1	eggnog	Lipopolysaccharide kinase (Kdo/WaaP) family	139	158	232
Phum-OR502AA_002_000288.1	eggnog	Partial alpha/beta-hydrolase lipase region	225.864	173.076	320.873
Phum-OR502AA_002_000598.1	eggnog	Partial alpha/beta-hydrolase lipase region	15	48.102	30.597
Phum-OR502AA_002_000289.1	eggnog	Tetratricopeptide repeat	59.774	523.462	475.206
Phum-OR502AA_002_000290.1	blastp	Homology to Phytophthora cactorum predicted protein KAG2788037.1	0	210	316
Phum-OR502AA_002_000597.1	eggnog	Tetratricopeptide repeat	138.226	1333.538	985.794
Phum-OR502AA_002_000291.1	eggnog	Partial alpha/beta-hydrolase lipase region	0	43.898	65.403
Phum-OR502AA_002_000596.1	eggnog	Partial alpha/beta-hydrolase lipase region	59.136	285.924	661.127
Phum-OR502AA_002_000595.1	interproscan	PTHR40849 domain-containing protein	101	256	410
Phum-OR502AA_002_000292.1	eggnog	domain-containing protein	318	538	758
Phum-OR502AA_002_000594.1	eggnog	Possible plasma membrane-binding motif in junctophilins, PIP-5-kinases and protein kinases	10	51	95
Phum-OR502AA_002_000593.1	eggnog	Tetratricopeptide repeat	583	577	901
Phum-OR502AA_002_000592.1	eggnog	positive regulation of microtubule nucleation	1442	1726	2439
